Site	Latitude	Longitude	Location	Country	Province	Material	Bibliography
Mas del Marquès	41.136436	1.351223	9 km east of Tarragona	Spain	Tarraconensis	Limestone (pedra del Médol), used locally in the Roman period	Gutiérrez 2009: 159–66
Mas dels Arcs	41.150757	1.248954	Just north of Tarragona	Spain	Tarraconensis	Limestone (soldó), used locally in theRoman period	Gutiérrez 2009: 204–8
Mauerley	50.436604	7.278119	Near Wassenach, east ofAndernach	Germany	GermaniaSuperior	Basalt, used locally in the Roman period	Mangartz 2000
Mauvro Spilies	37.905406	22.837463	Just west of Corinth	Greece	Achaia	Oolitic limestone, used locally and perhaps exported regionally in the Roman period	Hayward 1999
Megara	37.993889	23.345556	Central Megarid	Greece	Achaia	Marble (marmo megarense); used locally from the Archaic period	Higgins and Higgins 1996
Melanes	37.089444	25.437778	Central Naxos	Greece	Achaia	Coarse-grained white marble with blue or grey bands; used locally and exported regionally throughout antiquity	Attanasio 2003: 184
Mianes/Kokkinog hia	36.386111	22.483056	On the Mani Peninsula	Greece	Achaia	Dark brown-red marble (rosso antico), in various shades, with occasional light grey veins; exported inter-regionally by at least the early Roman period	Gorgoni et al. 1992; Gorgoni, Lazzarini and Pallente 2002
Mijas	36.595556	-4.636667	Malaga province	Spain	Baetica	Marble; used locally and exported regionally in the Roman Imperial period	Cisneros Cunchillos 1988; Lapuente and Blanc 2002; Lapuente et al. 2002;Àlvarez et al. 2009a: 106–13; Beltrán and Rodríguez 2010
Mokada Nazizi	36.559859	2.091390	Near Cherchel (IolCaesarea)	Algeria	MauretaniaCaesariensis	Sandstone; used locally in the RomanImperial period	Leveau 1984: 299-300
Monda	36.630000	-4.830833	Malaga province	Spain	Baetica	Marble; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Àlvarez et al. 2009a: 108
Mons Berenicides	24.743482	34.705718	North-west of Berenike, Eastern Desert	Egypt	Aegyptus	Light alabaster (alabastro bianco) with grey-white tones and occasional fine veins; exported regionally from the Ptolemaic period	Mielsch 1985: 40; Gnoli 1988: 219; Fant 1990: 101
Mons Claudianus(Gebel Fatira)	26.809167	33.285556	48 km north-west ofSafaga, Eastern Desert	Egypt	Aegyptus	White-grey granodiorite (granito del foro) flecked with black; exported in Roman Imperial period, predominately to Italy	Mielsch 1985: 69; Gnoli 1988: 148-150; Bülow-Jacobsen 1988; Klein1988: 120-175; Kraus and J. Röder1962a;  Kraus and J. Röder 1962b; Kraus, J. Röder and Müller-Wiener1967; Meredith 1952; Peacock andMaxfield 1997; Maxfield and Peacock2001a; Klemm and Klemm 2008:280-290
Mons Porphyrites(Gebel Dokhan)	27.214553	33.257231	50 km west of Hurghada, Eastern Desert	Egypt	Aegyptus	A number of varieties of porphyry, the most important one being dark purple- red (porfido rosso); also at least two types of black porphyry (porfido nero and porfido nero grafico) and two of green porphyry of varying shades (porfido verde egiziana and porfido verde oliva) - an orange-red porphyry (porfido rosso laterizio) also came from this site. All of these materials were exported in the Roman Imperial period but only the purple variety in anything other than minute quantities	Delbrück 1932; Mielsch 1985: 64-70; Lucci 1964; Meredith and Tregenza1950; Meredith 1952; Meredith 1953; Maxfield and Peacock 2001b
Mont-Saint-jean	47.292721	4.402751	North of Autun	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 35
MontagnolaSenese	43.283343	11.183065	Quarries at Molli, Tegoia and Montarrenti, just to the south-west of Sienna	Italy	Italia VII	Two types of golden yellow breccia marble (breccia dorata and breccia gialla fibrosa); used locally and probably exported in small quantities in the Roman Imperial period	Lazzarini and Sangati 2004: 76-77; Bruno 2002b
Montagny	45.628829	4.747989	South of Lyon, near StEtienne	France	Narbonensis	Granite; used locally in the RomanImperial period	Bedon 1984: 30
Montalieu- Vercieu	45.813922	5.403756	North-west of Peyrieu	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 33
Monte Capanne	42.771389	10.167500	On Elba	Italy	Italia VII	Medium-grained grey granite (granito dell’Elba) with shades of pink, light green and cream-white; used locally and exported regionally, to Italy, in the Roman Imperial period	Mielsch 1985: 69; Gnoli 1988: 154
Montecalvo	42.395278	13.189444	Near Rieti, Lazio	Italy	Italia IV	Marble (giallo tigrato); used locally and exported regionally in the Roman period	Bruno 2002b
Monteverde	41.877500	12.457222	South of Trastevere, Rome	Italy	Italia I	Tuff (tufo lionato or tufo di Monteverde); used locally from early Republican period, primarily at Rome	Heiken, Funiciello and Di Rita 2005
Montjuïc	41.366667	2.166667	Near Barcelona	Spain	Tarraconensis	Sandstone; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 92–101; Miró and Revilla 2012
Montmaurin	43.224722	0.636944	North of St-Gaudens	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 64, 76
Moria	39.133333	26.516389	Eastern Lesbos	Greece	Asia	Bluish tinged, coarsely crystalline marble (bigio antico), often with white veins; reasonably widely exported in the Roman Imperial period	Dwarakowska 1971; Millar and Williams 1993; Lazzarini, Pensabene and Turi 1999
Moulay Idriss	34.053611	-5.523056	Near Volubilis	Morocco	MauretaniaTingitana	Limestone, used at nearby Volubilis in the 1st and 2nd centuries AD	Feray and Paskoff 1966; Dworakowska 1983: 13-14
Mount Etna	37.755000	14.995833	Eastern Sicily	Italy	Sicilia	Basalt; used sporadically in the RomanImperial period and probably earlier	Wilson 1990: 239-240
Mount Gilboa	32.475775	35.420441	Near Beth She'an, ancient Scythopolis	Israel	Judaea	Limestone; used locally in the Roman Imperial period and probably earlier, notably at Scythopolis	Tsafrir and Foerster 1997: 89
Mount Hymettos	37.957500	23.811667	Located on west side of middle peak of the mountain, around 11 km from Athens	Greece	Achaia	White marble (marmo dell’Imetto) with fine grey veins running through it; used locally from the Classical period and exported inter-regionally in the Roman period	Gnoli 1988: 263;  Ampolo 1982; Goette et al. 1999; Mielsch 1985: 61; Ober 1981; Langdon 1988: 75
Mount Kionia	38.048889	24.320833	Near Marmari on Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Chidiroglou 2009
Mount Kynthos	37.399444	25.266389	On Delos	Greece	Achaia	Coarse white marble used locally throughout antiquity	Dwarakowska 1971; Higgins andHiggins 1996: 173-174
Mount Oberes	38.048889	24.320833	Near Marmari on Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Chidiroglou 2009
Mount Paikon	40.892408	22.362108	North-west of theMacedonian plain	Greece	Macedonia	Marble; used locally from Hellenistic period and possibly earlier	Vakoulis et al. 2002
Mount Pyrgari	38.122500	24.215000	Near Nimborio onEuboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Chidiroglou 2009
Mount Vermion	40.500278	21.998611	West of the Macedonian plain	Greece	Macedonia	Marble; used locally from Hellenistic period and possibly earlier	Vakoulis et al. 2002
Mount Vrethela	38.100003	24.266765	Near Marmari on Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Chidiroglou 2009
Mountanistika	36.461111	22.439167	On the Mani Peninsula	Greece	Achaia	Dark-grey, black limestone; used locally and probably exported regionally in the Roman Imperial period	Bruno and Pallante 2002
Mourgena	40.766183	24.716334	Just south of Limenas, Thasos	Greece	Macedonia	White-grey marble, used locally throughout antiquity	Wurch-Koželj and Koželj 2009
Mraissa	36.932807	10.793633	On the western side ofCap Bon	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 188-189
Mrzen	41.551423	21.974682	North of Edessa, nearStobi	Macedonia	Macedonia	Marble; used locally in the RomanImperial period	Керамидчиев 1981-1982: 109-124
Mula	38.040504	-1.486528	Near Mula	Spain	Tarraconensis	Red travertine, used locally in theRoman period	Soler 2008
Mus	43.740000	4.200556	South-west of Nîmes	France	Narbonensis	Sandstone; used locally in the RomanImperial period	Bedon 1984: 58, 89
Muslubium	36.638800	5.227267	Modern Cap Aokas, west of ancient Muslubium	Algeria	MauretaniaCaesariensis	Granite; used locally in the RomanImperial period	Gsell 1911: 7.56
Musso	46.112222	9.275833	On Lake Como	Italy	Italia XI	Marble; used locally in the RomanImperial period	Braemer 1992; David and De Michele1999; Meloni and Oddone 2002
Myloi	38.034446	24.438152	South-eastern Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Mielsch 1985: 58; Gnoli 1988: 181-183; Lambraki 1980: 31-62; Hankey1965; Pensabene 1998b; Sutherland and Sutherland 2002; Tsoflias 1982; Chidiroglou 2009
Myrtia	38.260659	24.201910	Between Dystos andStyra, Euboea	Greece	Achaia	Green-grey and white streaked marble (cipollino); used locally from the Classical period but only exported widely in the Roman Imperial	Russell and Fachard 2012
Nabi-Younes	33.661490	35.418614	Ancient Porphyrion, 12 km north of Sidon	Lebanon	Syria	Limestone and sandstone, used locally in the Roman period	Badawi 2002
Nahal Besor	31.461390	34.372500	At the mouth of the wadiGaza, Gaza	Israel / Palestinian Territories	Judaea	Limestone; used locally in the RomanImperial period and possibly earlier	Sumaka'I Fink 2000
Nahr el Bared	34.515114	35.960948	14 km north-east ofTripoli	Lebanon	Syria	Limestone; used locally in the RomanImperial period and possibly earlier	Badawi 2002
Nahr el Kelb	34.068262	35.643449	Ancient Lycus Flumini,7 km south of Byblos	Lebanon	Syria	Limestone; used locally in the RomanImperial period	Badawi 2002
Nargedik	37.648182	28.702925	11 km south-west ofAphrodisias	Turkey	Asia	White marble, used locally in theRoman period	Long 2012
Nicotera	38.555833	15.937222	North-western Calabria	Italy	Italia III	Granite (granito di Nicotera); used locally in the Roman Imperial period and exported regionally, to elsewhere in Italy	Solano 1985; Lazzarini and Sangati2004: 76-77
Niedermendig	50.373553	7.286674	In the Brohl valley	Germany	GermaniaSuperior	Basalt; used locally in the RomanImperial period	Bedon 1984: 73, 89
Nievelstein	50.887921	6.063507	Just north of Aachen	Germany	GermaniaInferior	Sandstone; used locally in the RomanImperial period	Bedon 1984: 51
Nissan-lez- Ensérune	43.288889	3.127500	South-west of Béziers	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 33, 77
Norroy	48.217650	5.919012	Pont à Mousson, south- west of Metz	France	Belgica	Limestone; used locally and exported regionally in the Roman Imperial period, notably to other cities along the Moselle and the Rhine	Dworakowska 1983: 17; Bedon 1984; Hayward 2006
Novelda	38.386274	-0.765468	Just west of Alicante	Spain	Tarraconensis	Pink-brown-white marble (rosa Novelda) with cloudy red-pink patches; used locally and exported regionally in the Roman Imperial period	Grünhagen 1978: 304
Ntikali	34.932500	24.923611	Just north of Lentas, southern Crete	Greece	Creta etCyrene	Grey-blue and white marble (marmo gortino) with dark veins; used locally in Roman period and possibly earlier	Paton and Schneider 1999: 292; Lazzarini 2002a
Öblarn	47.377125	14.493598	Western Styria	Austria	Noricum	White marble, used locally in theRoman period	Djurić and Müller 2009
Olbia	40.922778	9.485556	North-east Sardinia	Italy	Sardinia etCorsica	Grey-pink granite (granito della Sardegna); used locally and exportedregionally, to elsewhere in Italy, in the Roman Imperial period	Williams-Thorpe and Rigby 2006
Olèrdola	41.302238	1.709353	50 km north-east ofTarragona	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Gutiérrez 2009: 249–51
Ören	37.657539	28.752620	7 km south ofAphrodisias	Turkey	Asia	White marble, used locally in theRoman period	Long 2012
Otusbir	37.913120	27.271049	On the road betweenEphesos and Kusadasi	Turkey	Asia	Grey-white marble, used locally and perhaps regionally in the Roman period	Vetters 1990
Oued Akrech	34.047500	-6.811944	Near Sala, on the coast west of Volubilis	Morocco	MauretaniaTingitana	Limestone; used locally in the RomanImperial period	Boube 1967: 267; Euzennat 1989: 149
Oust	42.875833	1.213056	South of St-Girons	France	Aquitania	Marble; used locally in the RomanImperial period	Bedon 1984: 67
Ovidiu	44.255062	28.563360	Just north of Constanţa	Romania	MoesiaInferior	Limestone; used locally in the RomanImperial period	Rădulescu 1972
Oxyrhynchos	28.538333	30.649722	In the Fayum	Egypt	Aegyptus	Limestone; used locally from thePtolemaic period	Fitzler 1910: 109, 112
Palermo	38.116389	13.361667	Ancient Lilybaeum, northern Sicily	Italy	Sicilia	Grey-white limestone; used locally in the Roman Imperial period	Wilson 1990: 239-240
Palmyra	34.547500	38.278611	10 km north-east ofPalmyra	Syria	Syria	Hard sandy coloured limestone; used locally in the Roman Imperial period, notably at nearby Palmyra	Schmidt-Colinet 1990
Pamucak	37.935863	27.279060	On the road betweenEphesos and Kusadasi	Turkey	Asia	Red breccia, used locally and probably regionally in the Roman period	Vetters 1990
Panayirdağ	37.943670	27.353860	Just east of Ephesos	Turkey	Asia	Grey marble (bigio antico), used locally in the Roman period	Yavuz, Bruno and Attanasio 2011
Papalimani	40.783510	24.669007	Just west of Limenas, Thasos	Greece	Macedonia	Grey marble, used locally throughout antiquity	Wurch-Koželj and Koželj 2009
Paphos	34.768611	32.580556	South-west Cyprus	Cyprus	Cyprus	Limestone; used locally in the RomanImperial period and earlier	Maier and Karageorghis 1984: 249-277
Paximadhi	37.965556	24.383056	Just south-west ofKarystos on Euboea	Greece	Achaia	Sandstone; used locally in the Roman Imperial period, primarily at nearby Karystos	Keller 1985: 85-86
Pedreres de l’Aqüeducte	41.146717	1.243121	Just north of Tarragona	Spain	Tarraconensis	Limestone (soldó), used locally in theRoman period	Gutiérrez 2009: 197–204
Pegazzano-Biassa	44.109167	9.814722	Just outside of LaSpezia, Liguria	Italy	Italia IX	Pink-brown marble (breccia rossa appenninica) with lighter and darker shades of pink-red; exported to Rome in small quantities in the Roman Imperial period	Bruno and Lazzarini 1999; Lazzarini and Sangati 2004: 76-77
Penteli	38.073889	23.881944	North-east of Athens, Attica	Greece	Achaia	White marble (marmo pentelico) with very fine crystalline grains and honey- yellow shade, often with iron/mica inclusions; used locally from Archaic period and widely exported in the Roman period	Gnoli 1988: 263;  Mielsch 1985: 61; Dworakowska 1975; Goette et al.1999; Pike 1999
Petra	30.330022	35.430911	All around the city ofPetra	Jordan	Arabia	Sandstone, used locally	Rababeh 2005; Bessac 2007
Peyrus	44.911862	5.103581	Near Valence	France	Narbonensis	Tuff; used locally in the RomanImperial period	Bedon 1984: 57
Piano di Sorrento	40.639384	14.402757	3 km east of Sorrento	Italy	Italia I	Grey tuff, used loally in the Roman period	Kastenmeier et al. 2010
Pieria Mountains	40.251667	22.415000	Just north of MountOlympos	Greece	Macedonia	Marble; used locally from Hellenistic period and possibly earlier	Vakoulis et al. 2002
Pinarcik	37.472222	27.490000	Near ancient Herakleia- on-Latmos	Turkey	Asia	Marble; used locally from at least theHellenistic period	Peschlow-Bindoket  1981; Attanasio2003: 180
Pitaranha	39.369968	-7.316291	9 km east of Ammaia	Portugal	Lusitania	Granite, used locally in the Roman period	Taelman et al. 2012
Planica	46.469871	15.580475	Near Fram, Pohorje	Slovenia	PannoniaSuperior	White marble; used locally and exported regionally in the Roman period	Djurić 1997
Plate	43.364667	16.602618	On Brač Island	Croatia	Dalmatia	Limestone; used locally and exported regionally in the Roman period	Bulić 1908: 86
Platja de l’Arrabassada	41.116929	1.274308	Just east of Tarragona	Spain	Tarraconensis	Limestone (pedra del Médol), used locally in the Roman period	Gutiérrez 2009: 174–6
Platja delsCapellans	41.131803	1.390551	15 km east of Tarragona	Spain	Tarraconensis	Limestone (pedra d’Altafulla), used locally in the Roman period	Gutiérrez 2009: 135–8
Platsa	36.721851	22.374832	On the Mani Peninsula	Greece	Achaia	Dark brown-red marble (rosso antico), in various shades, with occasional light grey veins; exported inter-regionally by at least the early Roman period	Gorgoni et al. 1992; Gorgoni, Lazzarini and Pallente 2002
Podpeč	45.973932	14.419169	In the territory of Emona(Ljubljana)	Slovenia	PannoniaSuperior	Limestone; used locally in the RomanImperial period	Djurić 1997
Pompeii	40.750171	14.482372	Along the western side of the city	Italy	Italia I	Lava and scoria, used locally	Kastenmeier et al. 2010
Pont-Evêque	45.530886	4.913570	Near ancient Vienne	France	Narbonensis	Sandstone; used locally in the RomanImperial period	Bedon 1984: 32
Ponte Mammolo	41.924722	12.571111	Where the Via Tiburtina crosses the Aniene	Italy	Italia I	Tuff; used locally from the Republican period, primarily at Rome	Quilici and Quilici Gigli 1993: 366-390
Ponteau	43.368744	5.017284	30 km north-west ofMarseille	France	Narbonensis	Limestone, used locally and regionally in the Roman period	Tréziny 2009
Portland	50.566944	-2.444722	Southern Dorset	Britain	Britannia	Limestone; used locally in the RomanImperial period	Cunliffe and Fulford 1988: xiv
Porto Rotondo	41.025833	9.543611	North-east Sardinia	Italy	Sardinia etCorsica	Grey-pink granite (granito della Sardegna); used locally and exported regionally, to elsewhere in Italy, in the Roman Imperial period	Williams-Thorpe and Rigby 2006
Pourcieux	43.470556	5.785833	North-east of Marseille	France	Narbonensis	Limestone breccia; used locally in the Roman Imperial period and exported regionally	Mazeran 1999
Priene	37.659167	27.298056	Near the mouth of theMaeander	Turkey	Asia	Marble; used locally from at least theHellenistic period	Dodge 1988: 71); Pensabene 2002a,219
Prisat	41.408962	21.594376	Just north of Prilep	Macedonia	Macedonia	Marble; used locally in the RomanImperial period	Керамидчиев 1981-1982: 109-124; Niewöhner and Prochaska 2011: 436–9
Profitis Elias	36.483056	22.433611	On the Mani Peninsula	Greece	Achaia	Dark brown-red marble (rosso antico), in various shades, with occasional light grey veins; exported inter-regionally by at least the early Roman period	Gorgoni et al. 1992; Gorgoni, Lazzarini and Pallente 2002
Proserpina	38.974435	-6.371269	5 km north of Mérida	Spain	Lusitania	Grey granite, used locally and perhaps exported regionally in the Roman period	Pizzo 2010; Williams-Thorpe andPotts 2002
Prozor	44.848433	15.268818	Near Otočac in Lika	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Šarić 1980; Škegro 2006: 161-162
Ptolemais	32.708333	20.951667	Modern Tolmeitha, east of Benghazi	Libya	Creta etCyrene	Limestone; used locally from theHellenistic period	Dworakowska 1983: 13
Puch	46.665227	13.766145	Near Gummern, Carinthia	Austria	Noricum	White marble; used locally in theRoman Imperial period	Dworakowska 1983: 19; Alfoldy1974: 109
Puig d’en Torró	41.976287	3.083859	Just east of Girona	Spain	Tarraconensis	Sandstone (pedra dels Clots), used locally in the Roman period	Gutiérrez 2009: 54-62
Pulborough	50.956944	-0.497500	West Sussex	Britain	Britannia	Limestone; used locally in the RomanImperial period	Blagg 1990
Punta de laCreueta	41.129094	1.325177	8 km east of Tarragona	Spain	Tarraconensis	Limestone (pedra del Médol), used locally in the Roman period	Gutiérrez 2009: 166–9
Purbeck	50.597500	-2.038611	South-eastern Dorset	Britain	Britannia	Dark brown and black recrystallised limestone (Purbeck marble), flecked with green, yellow and other shades of brown; exported regionally in Roman Imperial period	Dworakowska 1983: 18; Beavis 1970:195; Williams and Peacock 2002
Pustograd	43.957843	15.385760	On the island of Pašman	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Queen's Crag	55.013611	-2.329722	Near Housesteads, Northumberland	Britain	Britannia	Limestone; used locally in the Roman Imperial period, notably for construction along Hadrian's Wall	Pearson 2006; Collingwood andWright 1965
Quseir el-Amarna	27.418333	30.867778	Near El-Qorgas, on the eastern bank of the Nile	Egypt	Aegyptus	Dense grey-yellow limestone; used locally from the Pharaonic to the Coptic period	Klemm and Klemm 2008: 98-104
R'mel	37.299722	9.604444	On the coast north of LacIchkeul	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 202
Ramat Hanadiv	32.552874	34.945734	On the southern slopes of the Carmel	Israel	Judaea	Limestone; used locally in the RomanImperial period and possibly earlier	Sumaka'I Fink 2000
Ramat Sharett	32.569183	34.953239	Zikhron Ya'akov, on the southern slopes of the Carmel	Israel	Judaea	Limestone; used locally in the Roman Imperial period, probably at nearby Caesarea Maritima	Sumaka'I Fink 2000
Raouad	36.890242	10.315858	Near Tunis	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 195
Ras el Abiad	33.162340	35.171104	Ancient PromontoriumAlbum, south of Tyre	Lebanon	Syria	Gypsum, limestone and sandstone, used locally in the Roman period	Badawi 2002
Ras el-Hammàm	32.595833	14.302500	5 km south of ancientLepcis Magna	Libya	AfricaProconsularis	Several varieties of white, cream and yellow limestone, as well a yellow sandstone; used locally from Carthaginian/Punic  period at nearby Lepcis Magna	Chiesa 1949: 25-26; Bakir 1968: 24
Ras el-Mergheb	32.632778	14.232778	6 km west of LepcisMagna	Libya	AfricaProconsularis	Creamy white limestone; used locally from Punic period at nearby Lepcis Magna	Chiesa 1949: 26
Ras et Tarf	37.179444	10.280278	North of Tunis	Tunisia	AfricaProconsularis	Sandstone; used locally in the RomanImperial period	Paskoff and Trousset 2004: 196-197
Ras-es-Saqa	34.292556	35.672075	5 km new of Batroun(Botrys)	Lebanon	Syria	Gypsum, used locally in the Roman period	Badawi 2002
Rasohe	43.368522	16.604833	On Brač Island	Croatia	Dalmatia	Limestone; used locally and exported regionally in the Roman period	Dworakowska 1983: 21-22
Rava	44.021557	15.065916	In the Zadar islands	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Renes	38.777222	24.636944	South of Skyros	Greece	Achaia	Marble breccia (marmor scyrium, settebassi or breccia di sciro) consisting of long fragments of white,grey, pink and yellow; widely exported in the Roman Imperial period	Mielsch 1985: 47; Gnoli 1988: 232-235; Dwarakowska 1975
Rettenstein	47.236368	12.276626	In the upper Enns valley	Austria	Noricum	White marble; used locally in theRoman Imperial period	Djurić 1997
River Gelt	54.901389	-2.728889	East of Carlisle, Cumbria	Britain	Britannia	Limestone; used locally in the Roman Imperial period, notably for construction along Hadrian's Wall	Pearson 2006; Collingwood andWright 1965
Rocca Argenteria	37.812222	13.302778	Near Corleone, Sicily	Italy	Sicilia	Grey granite; used locally in the Roman Imperial period and possibly earlier	Wilson 1990: 239-240
Roda de Berà	41.190141	1.462858	20 km east of Tarragona	Spain	Tarraconensis	Limestone, used locally in the Roman period	Gutiérrez 2009: 113–20
Rodadero de losLobos	37.920637	-4.823768	North of Corduba	Spain	Baetica	Limestone, used locally in the Roman period	Gutiérrez Deza 2012
Rome	41.888889	12.486944	On the Palatine and theAventine	Italy	Italia I	Tuff (tufo del Palatino or tufo pisolitico); used at Rome from early Republican period	Heiken, Funiciello and Di Rita 2005
Roquefort	43.171667	0.966389	South of Boussens	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 64
Roquemaillères	43.834386	4.360809	In Nîmes	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 30-31
Roselle	42.826944	11.159167	Grosseto province	Italy	Italia VII	Pink marble breccia (breccia rosata di Roselle); exported regionally in the Roman Imperial period	Bruno 2002b
Royanejos	38.974435	-6.371269	6 km north of Mérida	Spain	Lusitania	Grey granite, used locally and perhaps exported regionally in the Roman period	Pizzo 2010
Rubí	41.492912	2.030646	15 km north-west ofBarcelona	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988; Gutiérrez2009: 253
Sabratha	32.805278	12.485000	In Tripolitania, west ofTripoli	Libya	AfricaProconsularis	Varieties of limestone and sandstone; used locally in the Roman Imperial period and probably earlier	Ward 1970: 57; Di Vita 1999: 146-159
Saelices	39.919343	-2.803648	In Cuenca province, south-east of Madrid	Spain	Tarraconensis	Limestone; used locally in the RomanImperial period	Cisneros Cunchillos 1988
Sagalassos	37.677222	30.518889	Several quarries in the territory of the city in northern Pisidia	Turkey	Lycia et Pamphylia / Pisidia	Grey-white limestone; used locally in the Roman Imperial period and possibly earlier	Waelkens et al. 1997; Degryse, Muchez and Waelkens 2006
Sagunto	39.681389	-0.280000	Valencia province	Spain	Tarraconensis	Compact grey limestone; used locally in the Roman Imperial period	Cisneros Cunchillos 1988; Mayer1992; Àlvarez et al. 2009a: 94–9
Saint-Andéol-le- Château	45.584831	4.695642	South-west of Lyon, north-west of St Etienne	France	Narbonensis	Granite; used locally in the RomanImperial period	Bedon 1984: 30
Saint-Béat	42.913889	0.693889	In the central Pyrenees	France	Aquitania	Pure white fine- to medium-grained marble (marmo bianco di Saint-Béat); used locally from the late 1st century BC and exported across most of southern and western Gaul in the Roman Imperial period	Costedoat 1995a; Costedoat 1995b; Chevallier 1974; Lorenz 1995; Braemer 1971; Bedon 1984
Saint-Blaise	43.456629	4.984224	South-east of Arles	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 24
Saint-Boil	46.654125	4.683568	North of Lyon in Saône- et-Loire	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Monthel and Lambert 2002; Monthel and Pinette 1977; Chevallier 1974; Braemer 1971
Saint-Christophe- le-Chaudry	46.582222	2.369167	North-west of Montluçon	France	Aquitania	Sandstone; used locally in the RomanImperial period	Laville 1963; Braemer 1971; Bedon1984: 61 and 89-90; Chevallier 1974
Saint-Emilan	46.906592	4.483814	South-east of Autun	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 54, 84
Saint-Hilaire-de- Laderez	43.505600	3.053647	North-west of Béziers	France	Narbonensis	Marble; used locally in the RomanImperial period	Bedon 1984: 61
Saint-Jean-de- Verges	43.013611	1.610833	Near Foix	France	Aquitania / Narbonensis	Marble; used locally in the RomanImperial period	Bedon 1984: 63
Saint-Léger-du- Bois	47.014408	4.447359	East of Autun	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 78
Saint-Leu- d'Esserent	49.224577	2.402140	North of Paris	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 23, 78
Saint-Marc-le- Blanc	48.365000	-1.409444	15 km west of Fougères, north-east of Rennes	France	Lugdunensis	Granite; used locally in the RomanImperial period	Bedon 1984: 52
Saint-Merd-les- Oussines	45.635833	2.038056	East of Limoges	France	Aquitania	Granite; used locally in the RomanImperial period	Bedon 1984: 62
Saint-Pons-de- Thombières	43.487500	2.760278	North-west of Narbonne on the Jaur river	France	Narbonensis	Marble; used locally in the RomanImperial period	Bedon 1984: 33, 75-77
Saint-Vaast-les- Mello	49.280855	2.384475	North of Paris	France	Lugdunensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 37, 92
Sainte-Lucie	43.048039	3.048679	On the coast south-east of Narbonne	France	Narbonensis	Limestone; used locally in the RomanImperial period	Bedon 1984: 134, 142
Saintes	45.747500	-0.637500	Just north of the estuary of the Garonne	France	Aquitania	Limestone; used locally in the RomanImperial period	Bedon 1984: 35, 84
Sali	43.938661	15.164293	In the Zadar islands	Croatia	Dalmatia	Limestone; used locally in the RomanImperial period	Škegro 2006: 161-162
Saliara	40.750556	24.747222	North-east Thasos	Greece	Macedonia	Medium to coarse grained white dolomitic marble (marmor thasium or Thasos-2); used in Roman period and earlier; widely exported, particularly in the 3rd century and later	Herrmann 1990; Bruno et al. 2002
Salla	47.055382	15.050998	North-west of Köflach	Austria	Noricum	White marble, used locally in theRoman period	Djurić and Müller 2009
Salone	41.913611	12.635556	Along the Via Tiburtina, east of Rome	Italy	Italia I	Tuff (tufo lionato or tufo dell'Aniene); used locally from the Republican period, primarily at Rome	Heiken, Funiciello and Di Rita 2005
Sampans	47.126604	5.456605	Near Dôle	France	GermaniaSuperior	Marble; used locally in the RomanImperial period	Bedon 1984
San Bainzo	41.363156	9.262884	The southern tip ofCavallo island, Corsica	France	Sardinia etCorsica	Grey granite; used locally and exported regionally in the Roman period	Wilson 1988: 108-109
San Passera	41.850556	12.483333	South of Rome on theTiber	Italy	Italia I	Tuff; used locally from the Republican period, primarily at Rome	Mocchegiani Carpano 1975-1976:250-255
